Sender,Subject,Date,Type
Twitter <info@twitter.com>,"People in Bengaluru shared ""What will it take to bring back the era ...","Sat, 02 Jun 2018 22:25:37 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Ritika Bhambri shared Carrefour UAE's video,"Sat, 2 Jun 2018 10:53:34 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Anushka Sharma Tweeted: OMG! I'm legit upset I didn't think of doing...,"Sat, 02 Jun 2018 16:53:33 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Sat, 2 Jun 2018 06:36:41 -0700",CATEGORY_SOCIAL
Goodreads <no-reply@mail.goodreads.com>,Updates from Dipanshu Nagar,"Sat, 2 Jun 2018 10:32:38 +0000",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Why are most of the Indian youths a huge fan of Narendra Modi despite the failure to...?,"Sat, 02 Jun 2018 00:20:26 -0700 (PDT)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow KAPIL, Parineeti Chopra and Ashwin Ravichandran on Twitter!","Sat, 02 Jun 2018 02:03:06 +0000",CATEGORY_SOCIAL
Goodreads <no-reply@mail.goodreads.com>,New June Releases,"Fri, 1 Jun 2018 21:25:03 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Kumaraswamy pitches for U.S. consulate i...","Fri, 01 Jun 2018 20:45:47 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Jasveer singh👨🏻‍💻 Tweeted: Don't tell us what to do- @SharmaShradha,"Fri, 01 Jun 2018 15:37:29 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Aman Khurana added a new photo,"Fri, 1 Jun 2018 05:28:23 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,How can Rahul Gandhi make the country recover from Modi's mistakes like Digital India...?,"Fri, 01 Jun 2018 02:03:48 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Samyak Jain shared PetsLyf's video,"Fri, 1 Jun 2018 00:32:54 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Thu, 31 May 2018 22:42:23 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"lakshay bhambri, see 7 new updates from Narendra Modi","Fri, 01 Jun 2018 03:31:53 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""We’ll be profitable if PM Modi continues...","Thu, 31 May 2018 21:57:38 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,V V Puram Traffic PS Tweeted: Today ASI Rajanna & ASI Mukunda retire...,"Thu, 31 May 2018 15:56:50 +0000",CATEGORY_SOCIAL
LinkedIn Learning <linkedin@e.linkedin.com>,"Lakshay, develop your skills","Thu, 31 May 2018 03:08:00 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,"Is Congress better than BJP for a country like India? If so, in what way?","Thu, 31 May 2018 01:04:16 -0700 (PDT)",CATEGORY_SOCIAL
Ankit Singh Rawat <notification+kr4mbxeyb55x@facebookmail.com>,[Green way...green heart.] Status Update,"Thu, 31 May 2018 00:20:26 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Wed, 30 May 2018 23:45:06 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Vibhor Bansal's comment on his status?","Wed, 30 May 2018 23:01:56 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Wed, 30 May 2018 21:30:50 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Monsoon early, to enter Karnataka on Thu...","Thu, 31 May 2018 03:49:07 +0000",CATEGORY_SOCIAL
"""Scoop.it"" <noreply@postmaster.scoop.it>",Your Scoop.it Daily Summary,"Thu, 31 May 2018 04:51:14 +0200 (CEST)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Abhishek Bachchan, Karan Johar and Arun Jaitley on Twitter!","Wed, 30 May 2018 22:08:00 +0000",CATEGORY_SOCIAL
LinkedIn <jobs-listings@linkedin.com>,Java/J2EE Developer - OOAD (3-6 yrs) Delhi/NCR/Gurgaon at MY HR Solutions and 9 other jobs for you.,"Wed, 30 May 2018 19:46:19 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Akshay Kumar Tweeted: Absolutely 🙌🏻 So proud of you brother @TheJo...,"Wed, 30 May 2018 16:13:05 +0000",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,I know HTML and CSS but I do not know JavaScript. Am I front-end developer?,"Wed, 30 May 2018 04:05:05 -0700 (PDT)",CATEGORY_SOCIAL
LinkedIn Learning <linkedin@e.linkedin.com>,Body language and other courses free for 7 days only,"Wed, 30 May 2018 03:05:43 -0700",CATEGORY_SOCIAL
Arun Kumar Sharma <notification+kr4mbxeyb55x@facebookmail.com>,[Mayur sir fanclub(Ducat sec-16)] how to resolve --,"Wed, 30 May 2018 00:14:25 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Revisiting some myths and realities of A...","Wed, 30 May 2018 02:29:17 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Chetan Bhagat, Salman Khan and A.R.Rahman on Twitter!","Tue, 29 May 2018 20:42:37 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Virat Kohli Tweeted: Hard work always pays off 👍💪,"Tue, 29 May 2018 15:35:01 +0000",CATEGORY_SOCIAL
LinkedIn Updates <messages-noreply@linkedin.com>,Congratulate prince robin on the work anniversary,"Tue, 29 May 2018 08:20:24 +0000 (UTC)",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,"Who is more popular in Bengal, Modi or Mamata?","Mon, 28 May 2018 23:37:03 -0700 (PDT)",CATEGORY_SOCIAL
Raja sekhar <invitations@linkedin.com>,"Lakshay, please add me to your LinkedIn network","Tue, 29 May 2018 06:06:19 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"lakshay bhambri, see 10 new updates from Narendra Modi","Tue, 29 May 2018 05:27:48 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Mon, 28 May 2018 22:16:34 -0700",CATEGORY_SOCIAL
LinkedIn <news@linkedin.com>,Is this the next big company perk?,"Tue, 29 May 2018 01:15:01 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Virender Sehwag Tweeted: Forever young. Amazing grandma !,"Tue, 29 May 2018 00:13:00 +0000",CATEGORY_SOCIAL
LinkedIn <jobs-listings@linkedin.com>,Software Developer at HokuApps and 9 other jobs for you.,"Mon, 28 May 2018 22:12:22 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Tim Cook, BTP and Satya Nadella on Twitter!","Mon, 28 May 2018 19:11:31 +0000",CATEGORY_SOCIAL
Quora <question-noreply@quora.com>,"Can you answer Karthik Ponugoti's question: ""How and where can I practice Java as a beginner who completed learning Head First Java?""","Mon, 28 May 2018 11:18:05 -0700 (PDT)",CATEGORY_SOCIAL
Goodreads <no-reply@mail.goodreads.com>,Updates from Dipanshu Nagar,"Mon, 28 May 2018 10:21:09 +0000",CATEGORY_SOCIAL
Harshita Arora <notification+kr4mbxeyb55x@facebookmail.com>,Harshita Arora sent you a message.,"Mon, 28 May 2018 02:18:33 -0700",CATEGORY_SOCIAL
LinkedIn <messages-noreply@linkedin.com>,"Lakshay, people are looking at your LinkedIn profile","Mon, 28 May 2018 08:25:52 +0000 (UTC)",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Which holds the future: Java or Python?,"Sun, 27 May 2018 20:06:38 -0700 (PDT)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Lata Mangeshkar, BJP and Sushma Swaraj on Twitter!","Mon, 28 May 2018 03:03:21 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Twinkle.star Tweeted: 4 people followed me and 3 people unfollowed m...,"Sun, 27 May 2018 21:27:25 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Sun, 27 May 2018 13:23:32 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Noida shared ""Remembering a shared past: Two universities ...","Sun, 27 May 2018 15:42:11 +0000",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,I am ashamed of myself because of my appearance and my failures in life and it makes...?,"Sun, 27 May 2018 03:34:50 -0700 (PDT)",CATEGORY_SOCIAL
Quora <question-noreply@quora.com>,"Can you answer Vidit Jha's question: ""Which programs should I make to develop my programming skills in Java during the holidays? I have basic knowledge in Java.""","Sun, 27 May 2018 02:41:59 -0700 (PDT)",CATEGORY_SOCIAL
Quora <question-noreply@quora.com>,"Can you answer Raunak Khemka's question: ""How many questions will be asked in the DU JAT 2018? What marks do I need to get a BMS in SSCBS?""","Sat, 26 May 2018 21:32:31 -0700 (PDT)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Aamir Khan, Rohit Sharma and Deepika Padukone on Twitter!","Sun, 27 May 2018 03:21:48 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Arun Jaitley Tweeted: My Reflections on the NDA Government after Com...,"Sat, 26 May 2018 22:00:51 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Parthvi Kumar, Mamta Agarwal and 8 others are new friend suggestions for you","Sat, 26 May 2018 10:41:18 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Noida shared ""China's $7.5 Billion Myanmar Port `Crazy,’ S...","Sat, 26 May 2018 16:57:58 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Sat, 26 May 2018 06:35:18 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,"If united opposition wins against Modi and the BJP in 2019 elections, will India's ne...?","Sat, 26 May 2018 02:03:40 -0700 (PDT)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Ranveer Singh, PRIYANKA and Hrithik Roshan on Twitter!","Sat, 26 May 2018 04:12:52 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Noida shared ""CBI joint director probing Nirav Modi case r...","Fri, 25 May 2018 22:52:18 +0000",CATEGORY_SOCIAL
Manoj Gupta <invitations@linkedin.com>,"Lakshay, please add me to your LinkedIn network","Fri, 25 May 2018 18:06:48 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Fri, 25 May 2018 16:14:22 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Sugandha Chauhan added a new photo,"Fri, 25 May 2018 08:33:33 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Does anyone still believe that Congress is/was better than BJP(Modi government)? Why?,"Fri, 25 May 2018 02:21:32 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Fri, 25 May 2018 00:51:49 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Thu, 24 May 2018 22:36:22 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Suresh Raina, Shah Rukh Khan and Virender Sehwag on Twitter!","Fri, 25 May 2018 01:48:26 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: His father ordered him to go to his room an...,"Thu, 24 May 2018 20:25:47 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Jaisal Bafna added a new photo,"Thu, 24 May 2018 13:15:48 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""HD Kumaraswamy does his Vaastu homework,...","Thu, 24 May 2018 15:15:22 +0000",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,What is life like at the India-Pakistan border?,"Thu, 24 May 2018 01:06:15 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Thu, 24 May 2018 00:27:34 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Wed, 23 May 2018 22:40:58 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Wed, 23 May 2018 21:47:22 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Banks need less branches, more chain; SB...","Thu, 24 May 2018 04:02:36 +0000",CATEGORY_SOCIAL
"""Rohan Goel (via LinkedIn)"" <messages-noreply@linkedin.com>",Rohan Goel's invitation is waiting for your response,"Thu, 24 May 2018 02:14:08 +0000 (UTC)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Deepanshu Kumar and Tushar Jajoo have birthdays today,"Wed, 23 May 2018 18:46:28 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Follow Harbhajan Turbanator and Ashutosh Chandwar on Twitter!,"Wed, 23 May 2018 22:15:41 +0000",CATEGORY_SOCIAL
LinkedIn <jobs-listings@linkedin.com>,Software Engineer (PHP) at Wingify and 9 other jobs for you.,"Wed, 23 May 2018 21:39:38 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Wed, 23 May 2018 16:14:29 +0000",CATEGORY_SOCIAL
Ekta Gupta <notification+kr4mbxeyb55x@facebookmail.com>,[DU- WE WANT BTECH] #Registration #Open for #Summer #Training...,"Wed, 23 May 2018 06:43:13 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,India Today’s posts are extremely pro-Congress and anti-Modi. Republic TV and Times N...?,"Wed, 23 May 2018 04:05:15 -0700 (PDT)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Railways will use AI to track the moveme...","Wed, 23 May 2018 03:41:22 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Follow Nipa Shah and Aman Rai on Twitter!,"Tue, 22 May 2018 21:57:18 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Tue, 22 May 2018 15:48:14 +0000",CATEGORY_SOCIAL
The Quora Team <noreply@quora.com>,Updates to our Privacy Policy,"Tue, 22 May 2018 13:21:16 +0000 (UTC)",CATEGORY_SOCIAL
LinkedIn Updates <messages-noreply@linkedin.com>,Congratulate Tarun Pandey on the new position,"Tue, 22 May 2018 08:06:32 +0000 (UTC)",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Is India wasting time on Rahul Gandhi?,"Tue, 22 May 2018 00:09:49 -0700 (PDT)",CATEGORY_SOCIAL
Harshita Arora <notification+kr4mbxeyb55x@facebookmail.com>,Harshita Arora sent you a message.,"Mon, 21 May 2018 22:17:33 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"lakshay bhambri, see 3 new updates from Narendra Modi","Tue, 22 May 2018 03:33:15 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Let Anupam Gupta know you are thinking of him on his birthday today!,"Mon, 21 May 2018 20:14:02 -0700",CATEGORY_SOCIAL
"""Scoop.it"" <noreply@postmaster.scoop.it>",Your Scoop.it Daily Summary,"Tue, 22 May 2018 04:52:44 +0200 (CEST)",CATEGORY_SOCIAL
LinkedIn <news@linkedin.com>,The art of working from home,"Tue, 22 May 2018 01:09:53 +0000 (UTC)",CATEGORY_SOCIAL
LinkedIn <jobs-listings@linkedin.com>,IT Trainee at ENIMM and 9 other jobs for you.,"Mon, 21 May 2018 21:56:25 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Viraj Baviskar, P.N.VIJAY and dpjoshi on Twitter!","Mon, 21 May 2018 21:41:23 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Mon, 21 May 2018 12:25:12 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Mon, 21 May 2018 15:03:23 +0000",CATEGORY_SOCIAL
LinkedIn <messages-noreply@linkedin.com>,"Lakshay, people are looking at your LinkedIn profile","Mon, 21 May 2018 08:24:36 +0000 (UTC)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,See Harshita Arora's message and other notifications you've missed,"Sun, 20 May 2018 23:44:05 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Is Arnab Goswami a BJP supporter?,"Sun, 20 May 2018 20:05:51 -0700 (PDT)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""This Kolkata-based B2B ecommerce company...","Mon, 21 May 2018 02:41:51 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Let Ajay Chatrath know you are thinking of him on his birthday today!,"Sun, 20 May 2018 18:29:43 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow VerseCannon 🙋‍♀️, रमण मूर्ति and VickyPedia on Twitter!","Sun, 20 May 2018 21:14:28 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Piyush Verma's comment on his status?","Sun, 20 May 2018 12:59:52 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Akshay S Rao Tweeted: People who stand for nothing will fall for any...,"Sun, 20 May 2018 15:54:57 +0000",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,What face would Modiji and Amit Shah have if Yeddyurappa fails to prove his majority...?,"Sun, 20 May 2018 03:33:57 -0700 (PDT)",CATEGORY_SOCIAL
Goodreads <no-reply@mail.goodreads.com>,Updates from Naseem,"Sun, 20 May 2018 10:09:19 +0000",CATEGORY_SOCIAL
Rohit Kumar <notification+kr4mbxeyb55x@facebookmail.com>,[DU- WE WANT BTECH] Link to register: https://goo.gl/7PrL7L,"Sun, 20 May 2018 02:15:06 -0700",CATEGORY_SOCIAL
Goodreads <no-reply@mail.goodreads.com>,You are now friends with Naseem Ahmad,"Sun, 20 May 2018 05:34:53 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Anjʌli Jhʌ's comment on her photo?","Sat, 19 May 2018 22:33:56 -0700",CATEGORY_SOCIAL
Vibhav Dudeja <invitations@linkedin.com>,"Lakshay, please add me to your LinkedIn network","Sun, 20 May 2018 02:51:13 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Pakistan’s current account deficit widen...","Sun, 20 May 2018 01:48:31 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Ravin Desai, Saman priyankara and PMO India on Twitter!","Sat, 19 May 2018 20:44:40 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Piyush Verma added a new photo,"Sat, 19 May 2018 11:05:43 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Tarang Tweeted: The best coverage of the last 4 days on this Karnata...,"Sat, 19 May 2018 15:25:06 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Sheena Lamba's comment on Aakriti Jain's status?","Sat, 19 May 2018 07:11:50 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,What made BJP for not getting majority in Karnataka election?,"Sat, 19 May 2018 02:05:49 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"2018, 2017 & 2016 Batch Latest Off Campus Job Updates changed the type of the group ""OffCampusJobs4u...","Sat, 19 May 2018 00:51:15 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Saagar Anand, SwedishPM and pawan kaushal on Twitter!","Sat, 19 May 2018 03:15:28 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""[App Fridays] Woo the right person into ...","Fri, 18 May 2018 21:30:35 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #maths #english #trains  Learn more:,"Fri, 18 May 2018 16:20:57 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Vimmi Bhambri's comment on Anshul Chatrath's status?","Fri, 18 May 2018 09:00:04 -0700",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Was Modi responsible for the Gujarat riots?,"Fri, 18 May 2018 02:05:04 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, you have 23 new notifications","Fri, 18 May 2018 01:19:07 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Vijay Bhushan Bhambri shared Stuff's video,"Thu, 17 May 2018 22:24:49 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Let Sheena Lamba know you are thinking of her on her birthday today!,"Thu, 17 May 2018 20:06:10 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Fri, 18 May 2018 02:41:32 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""K’taka independent MLA spends time with ...","Thu, 17 May 2018 21:28:42 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Mukul Singh added a new photo,"Thu, 17 May 2018 13:56:47 -0700",CATEGORY_SOCIAL
Goodreads <no-reply@mail.goodreads.com>,Goodreads Newsletter: Summer Reading Sneak Peek,"Thu, 17 May 2018 19:34:07 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Jazzy, Jagrati Gupta and Gautam Tanwar on Twitter!","Thu, 17 May 2018 16:19:35 +0000",CATEGORY_SOCIAL
Rohan Goel <invitations@linkedin.com>,"Lakshay, please add me to your LinkedIn network","Thu, 17 May 2018 14:33:01 +0000 (UTC)",CATEGORY_SOCIAL
Maulik Doshi via LinkedIn <invitations@linkedin.com>,"See Maulik's connections, experience, and more","Thu, 17 May 2018 10:33:00 +0000 (UTC)",CATEGORY_SOCIAL
Quora <question-noreply@quora.com>,"Can you answer Rosie Elliott's question: ""What are the components of web service?""","Thu, 17 May 2018 02:51:41 -0700 (PDT)",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,What is the biggest reason behind the Indian National Congress defeat in Karnataka?,"Thu, 17 May 2018 01:05:47 -0700 (PDT)",CATEGORY_SOCIAL
Quora <question-noreply@quora.com>,"Can you answer Faiz Khan's question: ""Is it necessary to add a rest controller library to work with RESTful Web Services in CodeIgniter as some projects on GitHub are doing so?""","Wed, 16 May 2018 23:46:44 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, you have 16 new notifications","Wed, 16 May 2018 23:34:09 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Shankar Sathiamurthi shared a link,"Wed, 16 May 2018 22:57:45 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Nishant Aggarwal's comment on Adv Ashu Singh's post?","Wed, 16 May 2018 21:36:33 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Thu, 17 May 2018 03:00:27 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Adv Naveen Kr.Shelar, Virat Kohli and Amitabh Bachchan on Twi...","Wed, 16 May 2018 21:05:50 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""K’taka independent MLA spends time with ...","Wed, 16 May 2018 15:40:52 +0000",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,Is Modi so powerful that the whole opposition has become united to defeat him?,"Wed, 16 May 2018 04:05:38 -0700 (PDT)",CATEGORY_SOCIAL
"""Scoop.it"" <noreply@postmaster.scoop.it>",Your Scoop.it Daily Summary,"Wed, 16 May 2018 04:49:18 +0200 (CEST)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Mëëřå 🇮🇳 #FightCancer, Virendra Sharma and Devaraj Nadiger ...","Wed, 16 May 2018 01:56:57 +0000",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,Let Nishant Aggarwal know you are thinking of him on his birthday today!,"Tue, 15 May 2018 18:51:47 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"People in Bengaluru shared ""Karnataka Assembly Elections 2018 Pollin...","Tue, 15 May 2018 20:33:03 +0000",CATEGORY_SOCIAL
Twitter <info@twitter.com>,LearningPundits Tweeted: #job #freshers #jobs  Link-,"Tue, 15 May 2018 15:04:07 +0000",CATEGORY_SOCIAL
Mukul Verma <invitations@linkedin.com>,"Lakshay, please add me to your LinkedIn network","Tue, 15 May 2018 13:51:56 +0000 (UTC)",CATEGORY_SOCIAL
LinkedIn Updates <messages-noreply@linkedin.com>,Congratulate Roopashi Saxena on the work anniversary,"Tue, 15 May 2018 08:11:32 +0000 (UTC)",CATEGORY_SOCIAL
Quora Digest <digest-noreply@quora.com>,"Why is Mr. Manmohan Singh still with Congress, and why can't he just resign?","Tue, 15 May 2018 00:22:16 -0700 (PDT)",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, did you see Piyush Verma's comment on Vaibhav Goel's post?","Mon, 14 May 2018 23:45:20 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Lakshay, you have 7 new notifications","Mon, 14 May 2018 22:33:07 -0700",CATEGORY_SOCIAL
Facebook <notification+kr4mbxeyb55x@facebookmail.com>,"Nishant Paliwal, Pramod Kumar and 8 others are new friend suggestions for you","Mon, 14 May 2018 21:51:00 -0700",CATEGORY_SOCIAL
Twitter <info@twitter.com>,Anushka Sharma Tweeted: Come on boys❤️🏏🎈,"Tue, 15 May 2018 02:50:12 +0000",CATEGORY_SOCIAL
LinkedIn <news@linkedin.com>,The benefit almost every worker will need,"Tue, 15 May 2018 01:07:42 +0000 (UTC)",CATEGORY_SOCIAL
Twitter <info@twitter.com>,"Follow Exam Warriors, President of India and AnaghaParanjape-Puro on...","Mon, 14 May 2018 21:24:30 +0000",CATEGORY_SOCIAL
Quora <question-noreply@quora.com>,"Can you answer Nikhil's question: ""What should I go for hibernate or spring after core Java?""","Mon, 14 May 2018 09:59:02 -0700 (PDT)",CATEGORY_SOCIAL
